                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3779,                 2.7325,                 0.9909,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024592,             0.00024592,             0.00024592
                      2,                 1.2481,                 1.8746,                0.95107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040323,             0.00040323,             0.00040323
                      3,                 1.1889,                 1.4786,                0.94785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040323,             0.00040323,             0.00040323
                      4,                 1.1186,                 1.2926,                0.94273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038947,             0.00038947,             0.00038947
                      5,                  1.095,                  1.156,                0.93413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003757,              0.0003757,              0.0003757
                      6,                 1.0895,                 1.0535,                0.94345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036194,             0.00036194,             0.00036194
                      7,                 1.0753,                 1.0023,                0.93484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034817,             0.00034817,             0.00034817
                      8,                 1.0531,                 0.9204,                0.92613,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003344,              0.0003344,              0.0003344
                      9,                 1.0345,                0.88129,                0.92576,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032064,             0.00032064,             0.00032064
                     10,                 1.0026,                0.80841,                0.92029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030687,             0.00030687,             0.00030687
                     11,                0.98256,                0.77778,                0.91971,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002931,              0.0002931,              0.0002931
                     12,                0.99011,                0.74212,                 0.9193,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027934,             0.00027934,             0.00027934
                     13,                0.98113,                0.71488,                0.91525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026557,             0.00026557,             0.00026557
                     14,                0.96057,                0.65952,                0.91737,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025181,             0.00025181,             0.00025181
                     15,                0.97169,                0.63961,                0.91172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023804,             0.00023804,             0.00023804
                     16,                0.95541,                0.61469,                 0.9143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022427,             0.00022427,             0.00022427
                     17,                0.91855,                0.59151,                0.90897,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021051,             0.00021051,             0.00021051
                     18,                0.93295,                0.56434,                0.90889,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019674,             0.00019674,             0.00019674
                     19,                0.92916,                0.56073,                0.91053,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018298,             0.00018298,             0.00018298
                     20,                0.90661,                0.53969,                0.90317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016921,             0.00016921,             0.00016921
                     21,                0.90357,                0.57198,                0.90959,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015544,             0.00015544,             0.00015544
                     22,                0.90348,                0.54601,                0.90417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014168,             0.00014168,             0.00014168
                     23,                0.87593,                0.51974,                0.89609,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012791,             0.00012791,             0.00012791
                     24,                0.88089,                0.50212,                0.90008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011414,             0.00011414,             0.00011414
                     25,                0.86406,                0.49568,                0.89852,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010038,             0.00010038,             0.00010038
                     26,                0.84581,                0.47666,                0.89652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6613e-05,             8.6613e-05,             8.6613e-05
                     27,                0.82427,                0.46894,                0.89313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2846e-05,             7.2846e-05,             7.2846e-05
                     28,                 0.8281,                 0.4546,                0.89101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              5.908e-05,              5.908e-05,              5.908e-05
                     29,                0.82174,                 0.4492,                0.88715,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5314e-05,             4.5314e-05,             4.5314e-05
                     30,                 0.8123,                0.43284,                0.88444,                0.79745,                0.63374,                0.71115,                0.48988,                0.83394,                0.29332,                0.86081,             3.1548e-05,             3.1548e-05,             3.1548e-05
