                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2388,                 4.0557,                 1.0296,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017679,             0.00017679,             0.00017679
                      2,                 1.1335,                 2.6871,                0.97658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034377,             0.00034377,             0.00034377
                      3,                 1.0586,                 2.1008,                 0.9827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038947,             0.00038947,             0.00038947
                      4,                 1.0318,                 1.8835,                0.97589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038947,             0.00038947,             0.00038947
                      5,                0.99248,                 1.6305,                0.96809,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003757,              0.0003757,              0.0003757
                      6,                0.99593,                 1.5007,                0.95885,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036194,             0.00036194,             0.00036194
                      7,                0.94791,                 1.3424,                0.95749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034817,             0.00034817,             0.00034817
                      8,                0.94614,                 1.2739,                0.95308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033441,             0.00033441,             0.00033441
                      9,                0.90116,                 1.1523,                0.94297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032064,             0.00032064,             0.00032064
                     10,                0.89651,                 1.0711,                0.94382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030688,             0.00030688,             0.00030688
                     11,                0.88046,                0.99976,                0.93449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029311,             0.00029311,             0.00029311
                     12,                0.89476,                0.99819,                 0.9507,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027935,             0.00027935,             0.00027935
                     13,                0.88401,                0.93359,                0.94001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026558,             0.00026558,             0.00026558
                     14,                 0.8534,                0.88013,                0.94297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025181,             0.00025181,             0.00025181
                     15,                0.83967,                 0.8212,                0.93573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023805,             0.00023805,             0.00023805
                     16,                0.85059,                0.79809,                0.93945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022428,             0.00022428,             0.00022428
                     17,                0.83204,                0.74832,                0.93547,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021052,             0.00021052,             0.00021052
                     18,                0.83627,                0.74353,                0.93254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019675,             0.00019675,             0.00019675
                     19,                0.83445,                0.72262,                0.93062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018299,             0.00018299,             0.00018299
                     20,                0.81924,                0.70548,                0.93083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016922,             0.00016922,             0.00016922
                     21,                0.80425,                0.72749,                0.92851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015546,             0.00015546,             0.00015546
                     22,                0.80626,                 0.6864,                0.92742,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014169,             0.00014169,             0.00014169
                     23,                0.79611,                0.65747,                0.92592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012793,             0.00012793,             0.00012793
                     24,                0.78511,                0.64341,                0.92276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011416,             0.00011416,             0.00011416
                     25,                0.77259,                0.63468,                0.91724,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010039,             0.00010039,             0.00010039
                     26,                0.76423,                0.60652,                0.92008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6629e-05,             8.6629e-05,             8.6629e-05
                     27,                0.74352,                0.59114,                0.92153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2864e-05,             7.2864e-05,             7.2864e-05
                     28,                0.74488,                0.58526,                0.91624,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.9098e-05,             5.9098e-05,             5.9098e-05
                     29,                0.74018,                0.57242,                0.91068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5333e-05,             4.5333e-05,             4.5333e-05
                     30,                0.73086,                0.55616,                0.90702,                0.83792,                0.66829,                 0.7375,                0.50936,                0.74912,                0.38193,                0.88553,             3.1567e-05,             3.1567e-05,             3.1567e-05
