                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1582,                 3.0765,                0.64313,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024128,             0.00024128,             0.00024128
                      2,                 1.0766,                 2.0857,                0.62253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040322,             0.00040322,             0.00040322
                      3,                 1.0186,                 1.6717,                0.61523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040322,             0.00040322,             0.00040322
                      4,                0.97114,                 1.4221,                0.61177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      5,                0.93177,                 1.2789,                0.60602,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037567,             0.00037567,             0.00037567
                      6,                0.91824,                 1.1533,                0.60754,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036189,             0.00036189,             0.00036189
                      7,                0.86873,                 1.0229,                 0.6041,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034812,             0.00034812,             0.00034812
                      8,                0.88124,                0.95761,                0.60282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033434,             0.00033434,             0.00033434
                      9,                0.86498,                0.89534,                0.60509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032056,             0.00032056,             0.00032056
                     10,                0.84158,                 0.8184,                0.60021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030678,             0.00030678,             0.00030678
                     11,                0.83172,                0.75904,                0.59599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029301,             0.00029301,             0.00029301
                     12,                 0.8223,                0.72645,                0.59424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027923,             0.00027923,             0.00027923
                     13,                0.81297,                0.69217,                0.59282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026545,             0.00026545,             0.00026545
                     14,                0.77749,                0.66412,                0.58913,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025168,             0.00025168,             0.00025168
                     15,                0.78775,                  0.639,                0.59147,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002379,              0.0002379,              0.0002379
                     16,                0.75611,                0.59833,                 0.5878,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022412,             0.00022412,             0.00022412
                     17,                0.78307,                 0.6002,                0.58575,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021035,             0.00021035,             0.00021035
                     18,                0.74587,                0.54202,                0.58551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019657,             0.00019657,             0.00019657
                     19,                0.75291,                 0.5376,                0.58351,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018279,             0.00018279,             0.00018279
                     20,                0.74755,                 0.5242,                0.58783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016901,             0.00016901,             0.00016901
                     21,                0.74536,                0.54332,                  0.581,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015524,             0.00015524,             0.00015524
                     22,                0.74103,                0.53053,                0.57747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014146,             0.00014146,             0.00014146
                     23,                0.71988,                0.50947,                0.57546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012768,             0.00012768,             0.00012768
                     24,                0.72703,                0.49298,                 0.5783,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011391,             0.00011391,             0.00011391
                     25,                0.70585,                0.48332,                0.57658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010013,             0.00010013,             0.00010013
                     26,                0.69386,                0.46296,                0.57487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6352e-05,             8.6352e-05,             8.6352e-05
                     27,                0.68131,                 0.4579,                0.57495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2575e-05,             7.2575e-05,             7.2575e-05
                     28,                0.68193,                0.44148,                0.56871,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8798e-05,             5.8798e-05,             5.8798e-05
                     29,                0.68019,                0.43958,                0.56888,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5021e-05,             4.5021e-05,             4.5021e-05
                     30,                 0.6665,                0.42924,                 0.5734,                0.92956,                0.66773,                0.75354,                0.52075,                0.69395,                0.29823,                0.55645,             3.1244e-05,             3.1244e-05,             3.1244e-05
