                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.527,                 5.6314,                0.94039,                0.06835,                 0.3768,                0.13046,                0.08449,                 1.5649,                 4.3806,                  0.861,             0.00013751,             0.00013751,             0.00013751
                      2,                 1.4342,                 3.8291,                0.90453,                0.31332,                 0.2029,                0.25979,                0.15403,                 1.4856,                 2.6459,                0.86817,             0.00027103,             0.00027103,             0.00027103
                      3,                 1.3173,                   2.94,                0.90051,                0.38919,                0.39866,                0.34403,                0.18863,                 1.4336,                 1.6921,                0.86981,             0.00039905,             0.00039905,             0.00039905
                      4,                 1.2831,                 2.6203,                0.89602,                0.45532,                0.40412,                0.38886,                0.22474,                 1.3685,                 1.5125,                 0.8624,             0.00039223,             0.00039223,             0.00039223
                      5,                 1.2634,                 2.2822,                0.88842,                0.50173,                0.44311,                0.46125,                0.27231,                 1.2835,                 1.3451,                0.85668,             0.00039223,             0.00039223,             0.00039223
                      6,                 1.2122,                 2.1038,                0.88659,                0.56327,                0.52483,                0.50268,                0.29865,                 1.2795,                 1.1009,                0.85543,             0.00038397,             0.00038397,             0.00038397
                      7,                 1.1876,                 1.8466,                0.87782,                0.56637,                0.55184,                 0.5183,                0.29887,                 1.3149,                  1.225,                0.85622,             0.00037572,             0.00037572,             0.00037572
                      8,                 1.1688,                 1.7138,                0.87834,                0.56213,                0.55202,                0.55535,                0.33539,                  1.261,                 1.1701,                0.85588,             0.00036746,             0.00036746,             0.00036746
                      9,                 1.1189,                 1.5596,                0.86768,                0.60445,                0.54153,                0.55686,                0.35363,                  1.188,                 1.0018,                 0.8476,              0.0003592,              0.0003592,              0.0003592
                     10,                 1.1292,                  1.489,                 0.8724,                0.62501,                0.56822,                0.60107,                 0.3788,                  1.193,                0.91018,                0.85458,             0.00035095,             0.00035095,             0.00035095
                     11,                  1.128,                 1.4031,                0.87669,                0.73029,                0.55638,                0.62642,                 0.3824,                 1.2153,                0.91537,                0.85199,             0.00034269,             0.00034269,             0.00034269
                     12,                  1.139,                 1.3412,                0.87396,                0.66479,                0.60628,                0.61952,                0.36751,                  1.236,                0.90532,                0.85417,             0.00033443,             0.00033443,             0.00033443
                     13,                 1.1175,                 1.2639,                0.86717,                0.65671,                0.61201,                0.62255,                0.39425,                 1.1462,                0.82355,                0.84923,             0.00032618,             0.00032618,             0.00032618
                     14,                 1.0977,                 1.1817,                0.86849,                0.70845,                0.59331,                0.63994,                0.41299,                  1.098,                0.78605,                0.83983,             0.00031792,             0.00031792,             0.00031792
                     15,                 1.0747,                  1.112,                 0.8659,                0.64434,                0.55436,                0.60726,                0.39167,                 1.1402,                0.78686,                 0.8405,             0.00030966,             0.00030966,             0.00030966
                     16,                  1.071,                 1.0629,                0.86349,                0.68728,                0.63885,                0.65942,                0.42639,                 1.1193,                0.71954,                0.84298,             0.00030141,             0.00030141,             0.00030141
                     17,                 1.0446,                 1.0041,                0.86428,                0.72271,                0.60958,                0.65891,                0.41456,                 1.1588,                0.68271,                0.84312,             0.00029315,             0.00029315,             0.00029315
                     18,                 1.0329,                0.96427,                0.85675,                0.75451,                0.61997,                0.68002,                0.43511,                 1.1387,                0.70429,                0.84792,             0.00028489,             0.00028489,             0.00028489
                     19,                 1.0496,                0.95954,                0.85854,                0.72688,                0.64749,                0.69691,                0.44785,                 1.0839,                0.67312,                0.83576,             0.00027664,             0.00027664,             0.00027664
                     20,                 1.0264,                0.92845,                0.85668,                0.93422,                0.63918,                0.71059,                0.44981,                 1.0732,                0.64464,                0.83129,             0.00026838,             0.00026838,             0.00026838
                     21,                 1.0204,                0.89047,                0.85765,                0.91094,                 0.6345,                0.70819,                0.45629,                 1.0893,                0.66627,                0.84029,             0.00026012,             0.00026012,             0.00026012
                     22,                 1.0158,                0.88296,                0.85607,                0.94556,                0.62858,                0.71085,                0.45227,                 1.0985,                0.62581,                0.83591,             0.00025187,             0.00025187,             0.00025187
                     23,                  1.001,                0.82176,                0.84929,                0.96704,                0.64071,                0.72884,                0.46922,                 1.0543,                0.60025,                0.82686,             0.00024361,             0.00024361,             0.00024361
                     24,                0.99634,                0.81279,                0.85608,                0.89764,                 0.6387,                0.71673,                  0.474,                 1.0165,                0.61542,                0.83024,             0.00023535,             0.00023535,             0.00023535
                     25,                0.98319,                 0.7946,                0.85023,                0.87396,                 0.6693,                0.72708,                0.46641,                 1.0398,                0.61437,                0.82989,              0.0002271,              0.0002271,              0.0002271
                     26,                0.99131,                0.78747,                0.84985,                0.93552,                0.65546,                0.73032,                0.46665,                 1.0668,                0.57952,                 0.8295,             0.00021884,             0.00021884,             0.00021884
                     27,                0.97347,                0.74559,                0.85188,                0.92418,                0.65537,                0.74128,                 0.4862,                 1.0354,                  0.575,                0.82709,             0.00021059,             0.00021059,             0.00021059
                     28,                0.97806,                0.76431,                0.85316,                 0.8893,                0.61715,                0.72426,                0.45675,                 1.1006,                0.60831,                0.83433,             0.00020233,             0.00020233,             0.00020233
                     29,                0.97488,                0.74675,                0.84695,                0.91619,                0.67553,                0.75305,                0.47957,                 1.0247,                0.55757,                0.82361,             0.00019407,             0.00019407,             0.00019407
                     30,                0.96001,                0.71749,                0.84824,                0.92272,                0.67127,                0.77023,                0.48073,                 1.0717,                0.55792,                0.82899,             0.00018582,             0.00018582,             0.00018582
                     31,                0.95003,                0.70548,                0.84611,                0.93311,                 0.6819,                0.76113,                0.48136,                 1.0202,                0.55436,                0.82651,             0.00017756,             0.00017756,             0.00017756
                     32,                0.94599,                0.70405,                 0.8476,                0.94329,                0.66759,                0.77241,                0.49115,                0.99835,                0.53842,                0.82303,              0.0001693,              0.0001693,              0.0001693
                     33,                0.94141,                0.68129,                0.84723,                0.95772,                0.67417,                 0.7758,                0.50133,                0.98669,                0.52284,                0.82387,             0.00016105,             0.00016105,             0.00016105
                     34,                 0.9512,                0.69541,                0.84329,                0.92311,                0.67169,                0.78569,                0.51015,                 0.9677,                0.52084,                 0.8185,             0.00015279,             0.00015279,             0.00015279
                     35,                 0.9372,                0.66665,                0.84309,                0.91712,                0.69493,                0.77266,                0.50107,                0.95898,                0.52184,                0.82112,             0.00014453,             0.00014453,             0.00014453
                     36,                0.93804,                0.66404,                0.84691,                0.92787,                0.70211,                 0.7782,                0.51494,                 0.9438,                0.50995,                0.81666,             0.00013628,             0.00013628,             0.00013628
                     37,                 0.9073,                0.65707,                0.83693,                0.92423,                0.69683,                0.75769,                0.50605,                0.96924,                0.50884,                 0.8185,             0.00012802,             0.00012802,             0.00012802
                     38,                0.94151,                0.65593,                0.83983,                0.93188,                0.71905,                0.79276,                0.51633,                0.93476,                0.50022,                0.81808,             0.00011976,             0.00011976,             0.00011976
                     39,                0.89194,                0.62467,                0.84048,                0.92511,                0.70658,                0.78831,                0.52505,                0.93191,                0.49503,                 0.8161,             0.00011151,             0.00011151,             0.00011151
                     40,                0.89861,                0.62502,                0.83619,                0.93376,                0.71604,                0.78904,                0.51284,                0.96261,                0.49978,                0.81712,             0.00010325,             0.00010325,             0.00010325
                     41,                0.90273,                0.64631,                0.83558,                0.93868,                0.67681,                0.79418,                0.51428,                0.95477,                0.52154,                0.81537,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     42,                0.89754,                0.63336,                0.84191,                0.92771,                0.69736,                0.81631,                0.52664,                0.90938,                0.48954,                0.81102,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     43,                0.87165,                0.61394,                0.83351,                0.92681,                0.71772,                 0.7975,                0.51538,                0.95161,                0.49421,                0.81525,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     44,                0.87662,                0.59848,                0.83059,                0.94125,                0.71218,                0.80743,                0.52165,                0.90601,                0.48371,                0.81416,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     45,                0.87007,                0.60123,                0.82376,                0.94118,                0.72061,                0.81201,                0.53138,                0.88574,                0.47271,                0.81109,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     46,                0.85743,                0.58462,                0.82909,                0.93388,                0.72326,                0.80631,                0.52927,                0.92027,                0.47589,                0.81352,              5.371e-05,              5.371e-05,              5.371e-05
                     47,                 0.8661,                0.57836,                0.83457,                0.93442,                 0.7247,                0.81882,                 0.5356,                0.89323,                0.46376,                0.80892,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     48,                0.84285,                0.57478,                0.82794,                0.93272,                0.71524,                0.81504,                0.54534,                 0.8774,                 0.4703,                0.80921,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     49,                0.83558,                0.56806,                0.83428,                0.93371,                0.71885,                0.81846,                0.54102,                0.86959,                0.46378,                0.80812,              2.894e-05,              2.894e-05,              2.894e-05
                     50,                0.83426,                0.56096,                0.82567,                0.92144,                 0.7297,                0.82519,                0.54527,                0.86137,                0.45765,                0.80671,             2.0683e-05,             2.0683e-05,             2.0683e-05
