                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6101,                 5.8603,                0.97123,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00013751,             0.00013751,             0.00013751
                      2,                 1.5011,                 4.0138,                0.92927,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026737,             0.00026737,             0.00026737
                      3,                 1.3913,                 3.1215,                0.92333,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038805,             0.00038805,             0.00038805
                      4,                 1.3762,                 2.7866,                 0.9307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037567,             0.00037567,             0.00037567
                      5,                 1.3394,                 2.4826,                0.92551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037567,             0.00037567,             0.00037567
                      6,                 1.2967,                 2.2634,                0.91843,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003619,              0.0003619,              0.0003619
                      7,                 1.2382,                 1.9912,                0.90327,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034812,             0.00034812,             0.00034812
                      8,                 1.2346,                 1.8603,                0.90612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033435,             0.00033435,             0.00033435
                      9,                 1.2029,                 1.7086,                0.89938,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032057,             0.00032057,             0.00032057
                     10,                 1.1913,                 1.6303,                0.89821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003068,              0.0003068,              0.0003068
                     11,                 1.1924,                 1.5351,                 0.9019,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029302,             0.00029302,             0.00029302
                     12,                 1.2102,                 1.4791,                0.89908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027924,             0.00027924,             0.00027924
                     13,                 1.1828,                 1.3936,                0.89615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026547,             0.00026547,             0.00026547
                     14,                 1.1532,                 1.2844,                0.89382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025169,             0.00025169,             0.00025169
                     15,                 1.1352,                 1.2288,                0.88177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023792,             0.00023792,             0.00023792
                     16,                 1.1176,                 1.1765,                0.88647,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022414,             0.00022414,             0.00022414
                     17,                 1.1008,                 1.1445,                0.88738,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021037,             0.00021037,             0.00021037
                     18,                 1.0834,                 1.0974,                0.87903,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019659,             0.00019659,             0.00019659
                     19,                 1.0955,                  1.075,                0.88245,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018281,             0.00018281,             0.00018281
                     20,                 1.0647,                  1.022,                0.87628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016904,             0.00016904,             0.00016904
                     21,                 1.0891,                 1.0991,                0.89002,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015526,             0.00015526,             0.00015526
                     22,                 1.0958,                 1.0496,                0.88605,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014149,             0.00014149,             0.00014149
                     23,                 1.0782,                 1.0084,                 0.8806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012771,             0.00012771,             0.00012771
                     24,                 1.0525,                0.94927,                0.88126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011394,             0.00011394,             0.00011394
                     25,                 1.0655,                0.96859,                0.87994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010016,             0.00010016,             0.00010016
                     26,                 1.0359,                0.90459,                0.87708,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6386e-05,             8.6386e-05,             8.6386e-05
                     27,                 1.0106,                0.90241,                0.87146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.261e-05,              7.261e-05,              7.261e-05
                     28,                 1.0176,                0.87225,                0.87443,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8835e-05,             5.8835e-05,             5.8835e-05
                     29,                 1.0041,                0.85345,                0.87294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5059e-05,             4.5059e-05,             4.5059e-05
                     30,                0.99233,                0.83261,                0.86936,                0.92514,                0.66025,                0.72681,                0.48563,                 1.0447,                0.58343,                0.84721,             3.1283e-05,             3.1283e-05,             3.1283e-05
