                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5487,                 5.6747,                 1.0302,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017679,             0.00017679,             0.00017679
                      2,                 1.4441,                 3.8285,                0.98937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034375,             0.00034375,             0.00034375
                      3,                 1.3518,                 2.9714,                 0.9854,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038943,             0.00038943,             0.00038943
                      4,                 1.2947,                 2.6482,                0.97997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038943,             0.00038943,             0.00038943
                      5,                 1.2935,                 2.3694,                0.98113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037564,             0.00037564,             0.00037564
                      6,                 1.2388,                 2.1793,                0.97369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036185,             0.00036185,             0.00036185
                      7,                 1.1897,                 1.9134,                0.95985,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034806,             0.00034806,             0.00034806
                      8,                 1.1865,                 1.7552,                 0.9614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033428,             0.00033428,             0.00033428
                      9,                 1.1418,                  1.619,                0.95099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032049,             0.00032049,             0.00032049
                     10,                 1.1477,                 1.5379,                0.95672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003067,              0.0003067,              0.0003067
                     11,                 1.1431,                  1.452,                0.95606,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029292,             0.00029292,             0.00029292
                     12,                 1.1606,                 1.3986,                 0.9623,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027913,             0.00027913,             0.00027913
                     13,                 1.1404,                 1.3437,                0.95233,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026534,             0.00026534,             0.00026534
                     14,                 1.1033,                 1.2393,                0.94974,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025155,             0.00025155,             0.00025155
                     15,                 1.0798,                 1.1802,                 0.9493,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023777,             0.00023777,             0.00023777
                     16,                  1.073,                  1.127,                0.94642,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022398,             0.00022398,             0.00022398
                     17,                 1.0533,                 1.0905,                0.94113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021019,             0.00021019,             0.00021019
                     18,                 1.0386,                 1.0457,                0.93973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019641,             0.00019641,             0.00019641
                     19,                 1.0467,                 1.0269,                0.93973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018262,             0.00018262,             0.00018262
                     20,                 1.0351,                0.99031,                0.93209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016883,             0.00016883,             0.00016883
                     21,                 1.0583,                 1.0761,                0.93913,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015504,             0.00015504,             0.00015504
                     22,                 1.0581,                  1.015,                0.94322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014126,             0.00014126,             0.00014126
                     23,                 1.0244,                0.95588,                0.93177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012747,             0.00012747,             0.00012747
                     24,                 1.0177,                 0.9367,                 0.9367,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011368,             0.00011368,             0.00011368
                     25,                 1.0169,                0.94133,                 0.9345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9896e-05,             9.9896e-05,             9.9896e-05
                     26,                 0.9845,                0.89072,                0.92778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6109e-05,             8.6109e-05,             8.6109e-05
                     27,                0.97534,                0.87269,                0.92454,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2322e-05,             7.2322e-05,             7.2322e-05
                     28,                0.97256,                0.84487,                0.92448,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8535e-05,             5.8535e-05,             5.8535e-05
                     29,                0.95954,                0.83944,                0.92082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4747e-05,             4.4747e-05,             4.4747e-05
                     30,                0.94525,                0.81588,                0.92414,                0.83144,                0.64887,                0.73358,                0.49332,                0.98677,                0.56741,                0.90003,              3.096e-05,              3.096e-05,              3.096e-05
