                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2295,                 4.5268,                0.83615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018992,             0.00018992,             0.00018992
                      2,                 1.1373,                 3.0061,                0.81137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036926,             0.00036926,             0.00036926
                      3,                 1.0443,                 2.3108,                0.80851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038939,             0.00038939,             0.00038939
                      4,                 1.0204,                 2.0502,                0.79574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038939,             0.00038939,             0.00038939
                      5,                 1.0076,                 1.8209,                0.79509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037558,             0.00037558,             0.00037558
                      6,                0.97585,                 1.6701,                0.79511,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036177,             0.00036177,             0.00036177
                      7,                0.94622,                 1.4905,                0.79205,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034796,             0.00034796,             0.00034796
                      8,                0.93034,                 1.3868,                0.78282,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033416,             0.00033416,             0.00033416
                      9,                0.89578,                 1.2435,                0.78315,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032035,             0.00032035,             0.00032035
                     10,                0.90261,                 1.1935,                0.78295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030654,             0.00030654,             0.00030654
                     11,                 0.8922,                 1.1231,                 0.7777,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029273,             0.00029273,             0.00029273
                     12,                0.90043,                 1.0795,                0.78062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027893,             0.00027893,             0.00027893
                     13,                 0.8984,                 1.0268,                0.77435,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026512,             0.00026512,             0.00026512
                     14,                0.86296,                0.94338,                0.77407,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025131,             0.00025131,             0.00025131
                     15,                0.84816,                0.92711,                0.77279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002375,              0.0002375,              0.0002375
                     16,                0.84319,                0.87239,                0.77076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002237,              0.0002237,              0.0002237
                     17,                0.81682,                0.82962,                0.76728,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020989,             0.00020989,             0.00020989
                     18,                0.80048,                0.79161,                0.76342,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019608,             0.00019608,             0.00019608
                     19,                0.81605,                 0.7757,                0.76381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018227,             0.00018227,             0.00018227
                     20,                0.80381,                0.75855,                0.76244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016847,             0.00016847,             0.00016847
                     21,                0.80787,                0.80044,                0.76488,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015466,             0.00015466,             0.00015466
                     22,                0.80377,                 0.7736,                0.75949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014085,             0.00014085,             0.00014085
                     23,                0.78994,                0.74039,                 0.7565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012704,             0.00012704,             0.00012704
                     24,                0.79213,                0.72278,                0.75779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011324,             0.00011324,             0.00011324
                     25,                0.77076,                0.71108,                0.75225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9429e-05,             9.9429e-05,             9.9429e-05
                     26,                0.76821,                0.67765,                0.75258,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5622e-05,             8.5622e-05,             8.5622e-05
                     27,                0.74272,                0.65919,                0.75099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.1814e-05,             7.1814e-05,             7.1814e-05
                     28,                0.75115,                0.65118,                0.75241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8007e-05,             5.8007e-05,             5.8007e-05
                     29,                0.73381,                0.63425,                0.74826,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4199e-05,             4.4199e-05,             4.4199e-05
                     30,                0.72969,                0.61915,                0.74599,                0.92433,                0.68679,                0.74379,                0.50222,                0.75024,                0.43774,                0.72754,             3.0392e-05,             3.0392e-05,             3.0392e-05
