                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1074,                 3.9944,                0.95734,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016753,             0.00016753,             0.00016753
                      2,                 1.0171,                  2.666,                0.91521,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032575,             0.00032575,             0.00032575
                      3,                0.95365,                 2.0791,                0.91308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      4,                0.92157,                 1.8458,                0.91194,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      5,                0.88754,                 1.5962,                0.90515,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037567,             0.00037567,             0.00037567
                      6,                0.88837,                 1.4772,                0.89153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036189,             0.00036189,             0.00036189
                      7,                0.84682,                 1.3229,                0.89736,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034811,             0.00034811,             0.00034811
                      8,                0.84373,                  1.262,                0.89376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033434,             0.00033434,             0.00033434
                      9,                0.81982,                 1.1596,                0.88932,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032056,             0.00032056,             0.00032056
                     10,                0.80495,                 1.0684,                0.88648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030678,             0.00030678,             0.00030678
                     11,                 0.7801,                 0.9813,                0.87327,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000293,               0.000293,               0.000293
                     12,                0.79829,                0.97632,                0.88983,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027923,             0.00027923,             0.00027923
                     13,                0.79707,                0.92642,                0.87693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026545,             0.00026545,             0.00026545
                     14,                0.76978,                0.87911,                0.88078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025167,             0.00025167,             0.00025167
                     15,                0.75976,                0.81277,                0.88122,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002379,              0.0002379,              0.0002379
                     16,                 0.7512,                0.79489,                0.87578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022412,             0.00022412,             0.00022412
                     17,                0.74692,                0.73871,                0.87218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021034,             0.00021034,             0.00021034
                     18,                0.75459,                0.73993,                0.87261,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019656,             0.00019656,             0.00019656
                     19,                0.73994,                0.70899,                0.87582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018279,             0.00018279,             0.00018279
                     20,                0.72924,                0.68549,                0.86596,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016901,             0.00016901,             0.00016901
                     21,                0.72747,                0.71761,                0.86694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015523,             0.00015523,             0.00015523
                     22,                0.71604,                0.67422,                0.86089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014145,             0.00014145,             0.00014145
                     23,                0.70796,                0.65046,                0.86922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012768,             0.00012768,             0.00012768
                     24,                0.69696,                 0.6296,                0.86184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001139,              0.0001139,              0.0001139
                     25,                0.70468,                0.63557,                 0.8637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010012,             0.00010012,             0.00010012
                     26,                0.67909,                0.60014,                0.86097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6346e-05,             8.6346e-05,             8.6346e-05
                     27,                0.67406,                0.59107,                0.86456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2568e-05,             7.2568e-05,             7.2568e-05
                     28,                0.66797,                0.57224,                0.84846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8791e-05,             5.8791e-05,             5.8791e-05
                     29,                0.66908,                0.56899,                0.85058,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5014e-05,             4.5014e-05,             4.5014e-05
                     30,                0.65588,                0.54682,                0.85039,                0.82733,                 0.6735,                0.73628,                0.50745,                0.67215,                0.38454,                0.82816,             3.1237e-05,             3.1237e-05,             3.1237e-05
