                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0178,                 3.9756,                0.82675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021196,             0.00021196,             0.00021196
                      2,                0.94232,                 2.6448,                0.78801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040323,             0.00040323,             0.00040323
                      3,                 0.8788,                 2.0613,                0.79106,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040323,             0.00040323,             0.00040323
                      4,                0.84968,                 1.8524,                0.78444,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      5,                0.82605,                 1.6337,                0.78578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037568,             0.00037568,             0.00037568
                      6,                0.82685,                 1.5134,                0.77134,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036191,             0.00036191,             0.00036191
                      7,                0.78466,                 1.3344,                0.77577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034814,             0.00034814,             0.00034814
                      8,                0.78245,                 1.2684,                0.76963,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033436,             0.00033436,             0.00033436
                      9,                0.75673,                 1.1683,                 0.7614,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032059,             0.00032059,             0.00032059
                     10,                0.75005,                 1.0949,                 0.7618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030682,             0.00030682,             0.00030682
                     11,                0.74132,                 1.0265,                 0.7649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029305,             0.00029305,             0.00029305
                     12,                0.73318,                0.98298,                0.76838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027927,             0.00027927,             0.00027927
                     13,                0.73193,                0.91595,                0.76038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002655,              0.0002655,              0.0002655
                     14,                0.71555,                0.88471,                0.75818,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025173,             0.00025173,             0.00025173
                     15,                 0.7056,                0.84372,                 0.7584,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023796,             0.00023796,             0.00023796
                     16,                 0.6999,                0.81631,                0.75692,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022418,             0.00022418,             0.00022418
                     17,                 0.7063,                0.76531,                0.75668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021041,             0.00021041,             0.00021041
                     18,                0.69891,                0.76054,                 0.7535,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019664,             0.00019664,             0.00019664
                     19,                0.69559,                0.73106,                0.75555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018287,             0.00018287,             0.00018287
                     20,                 0.6839,                0.70272,                0.75867,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016909,             0.00016909,             0.00016909
                     21,                0.67933,                0.72087,                0.75829,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015532,             0.00015532,             0.00015532
                     22,                0.67762,                 0.6978,                0.74881,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014155,             0.00014155,             0.00014155
                     23,                0.66703,                0.66601,                0.75139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012778,             0.00012778,             0.00012778
                     24,                0.65931,                0.64303,                0.74723,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000114,               0.000114,               0.000114
                     25,                 0.6521,                 0.6389,                0.74863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010023,             0.00010023,             0.00010023
                     26,                0.63465,                0.60354,                0.74437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6459e-05,             8.6459e-05,             8.6459e-05
                     27,                0.61933,                0.59074,                 0.7462,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2687e-05,             7.2687e-05,             7.2687e-05
                     28,                0.62501,                0.57509,                0.74554,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8914e-05,             5.8914e-05,             5.8914e-05
                     29,                0.62368,                0.57447,                0.73973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5142e-05,             4.5142e-05,             4.5142e-05
                     30,                0.61775,                0.56273,                0.74376,                0.83591,                0.65026,                0.73151,                0.49863,                0.62594,                0.39078,                0.71788,             3.1369e-05,             3.1369e-05,             3.1369e-05
