                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5687,                 5.1929,                 1.0096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014209,             0.00014209,             0.00014209
                      2,                 1.4834,                 3.5526,                0.96307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027629,             0.00027629,             0.00027629
                      3,                 1.3859,                 2.8009,                0.95484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038948,             0.00038948,             0.00038948
                      4,                 1.3007,                 2.3425,                 0.9538,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038948,             0.00038948,             0.00038948
                      5,                 1.2589,                  2.096,                0.94847,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037571,             0.00037571,             0.00037571
                      6,                 1.2574,                 1.9388,                0.95199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036195,             0.00036195,             0.00036195
                      7,                 1.2427,                 1.8133,                0.95036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034819,             0.00034819,             0.00034819
                      8,                 1.2124,                 1.6409,                0.93648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033443,             0.00033443,             0.00033443
                      9,                 1.1892,                 1.5281,                0.93919,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032066,             0.00032066,             0.00032066
                     10,                 1.1409,                 1.3721,                0.92551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003069,              0.0003069,              0.0003069
                     11,                 1.1574,                 1.3048,                0.93198,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029314,             0.00029314,             0.00029314
                     12,                 1.1448,                 1.2431,                 0.9325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027938,             0.00027938,             0.00027938
                     13,                 1.1235,                  1.183,                0.93197,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026561,             0.00026561,             0.00026561
                     14,                 1.1109,                 1.1228,                0.91798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025185,             0.00025185,             0.00025185
                     15,                 1.1266,                 1.1035,                0.92639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023809,             0.00023809,             0.00023809
                     16,                 1.0923,                 1.0468,                0.92364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022433,             0.00022433,             0.00022433
                     17,                 1.1085,                  1.013,                0.92159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021056,             0.00021056,             0.00021056
                     18,                 1.0624,                0.95121,                 0.9163,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001968,              0.0001968,              0.0001968
                     19,                 1.0564,                0.93388,                0.91422,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018304,             0.00018304,             0.00018304
                     20,                 1.0597,                0.92327,                0.91579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016928,             0.00016928,             0.00016928
                     21,                 1.0769,                0.96633,                0.91512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015551,             0.00015551,             0.00015551
                     22,                 1.0617,                0.90337,                0.91698,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014175,             0.00014175,             0.00014175
                     23,                  1.052,                0.87539,                0.91421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012799,             0.00012799,             0.00012799
                     24,                 1.0305,                0.84353,                0.91181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011423,             0.00011423,             0.00011423
                     25,                 1.0328,                 0.8504,                0.90444,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010047,             0.00010047,             0.00010047
                     26,                0.99918,                0.79903,                0.90658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6703e-05,             8.6703e-05,             8.6703e-05
                     27,                0.99169,                0.79676,                 0.9081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.294e-05,              7.294e-05,              7.294e-05
                     28,                0.98744,                0.77194,                0.90312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.9178e-05,             5.9178e-05,             5.9178e-05
                     29,                 0.9792,                0.75785,                0.89721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5415e-05,             4.5415e-05,             4.5415e-05
                     30,                0.96598,                0.74493,                0.89551,                0.92127,                0.65031,                0.71816,                0.47888,                 1.0493,                0.53998,                0.87915,             3.1653e-05,             3.1653e-05,             3.1653e-05
