                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3224,                 5.3706,                0.88162,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018356,             0.00018356,             0.00018356
                      2,                 1.2009,                 3.5854,                0.84295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003569,              0.0003569,              0.0003569
                      3,                 1.1328,                 2.8428,                 0.8447,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003894,              0.0003894,              0.0003894
                      4,                 1.0869,                 2.4174,                0.83426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003894,              0.0003894,              0.0003894
                      5,                 1.0787,                 2.1595,                0.83269,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003756,              0.0003756,              0.0003756
                      6,                  1.041,                  1.997,                0.82513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036181,             0.00036181,             0.00036181
                      7,                 1.0271,                 1.8373,                0.82793,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034801,             0.00034801,             0.00034801
                      8,                0.99772,                 1.6568,                 0.8202,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033421,             0.00033421,             0.00033421
                      9,                0.97797,                  1.513,                0.82312,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032041,             0.00032041,             0.00032041
                     10,                0.97387,                 1.4222,                0.81945,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030661,             0.00030661,             0.00030661
                     11,                0.95148,                 1.3319,                0.81318,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029281,             0.00029281,             0.00029281
                     12,                0.94477,                 1.3084,                0.80781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027902,             0.00027902,             0.00027902
                     13,                0.95941,                 1.2269,                 0.8145,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026522,             0.00026522,             0.00026522
                     14,                0.92145,                 1.1773,                0.80155,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025142,             0.00025142,             0.00025142
                     15,                0.90995,                 1.1001,                0.80512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023762,             0.00023762,             0.00023762
                     16,                0.91277,                 1.0459,                0.80782,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022382,             0.00022382,             0.00022382
                     17,                0.89538,                 1.0069,                0.79438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021002,             0.00021002,             0.00021002
                     18,                0.87115,                0.95118,                0.80146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019623,             0.00019623,             0.00019623
                     19,                0.88292,                0.93777,                 0.8076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018243,             0.00018243,             0.00018243
                     20,                0.87329,                 0.9105,                0.80079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016863,             0.00016863,             0.00016863
                     21,                 0.8918,                0.95944,                0.80202,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015483,             0.00015483,             0.00015483
                     22,                0.87634,                0.93991,                0.79681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014103,             0.00014103,             0.00014103
                     23,                0.85711,                0.88064,                0.79127,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012723,             0.00012723,             0.00012723
                     24,                0.85101,                0.85858,                0.79671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011344,             0.00011344,             0.00011344
                     25,                0.83463,                0.84733,                0.78615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9637e-05,             9.9637e-05,             9.9637e-05
                     26,                0.83383,                0.82547,                0.78785,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5839e-05,             8.5839e-05,             8.5839e-05
                     27,                 0.8166,                0.80148,                0.78758,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.204e-05,              7.204e-05,              7.204e-05
                     28,                0.81121,                0.78381,                0.78677,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8242e-05,             5.8242e-05,             5.8242e-05
                     29,                0.78954,                0.76431,                0.78119,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4443e-05,             4.4443e-05,             4.4443e-05
                     30,                0.78768,                0.75148,                0.78523,                0.95919,                 0.6815,                0.74802,                0.51148,                0.81399,                0.51579,                0.76438,             3.0645e-05,             3.0645e-05,             3.0645e-05
