                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3308,                 5.3431,                0.93307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001668,              0.0001668,              0.0001668
                      2,                 1.2539,                 3.5868,                0.90345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032431,             0.00032431,             0.00032431
                      3,                 1.1591,                 2.7902,                0.89418,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038939,             0.00038939,             0.00038939
                      4,                 1.1067,                  2.468,                0.88611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038939,             0.00038939,             0.00038939
                      5,                 1.1066,                 2.1842,                0.88413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037558,             0.00037558,             0.00037558
                      6,                 1.0645,                 2.0255,                0.88561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036178,             0.00036178,             0.00036178
                      7,                 1.0375,                 1.7927,                0.87765,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034797,             0.00034797,             0.00034797
                      8,                 1.0012,                 1.6362,                0.87512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033417,             0.00033417,             0.00033417
                      9,                0.97155,                  1.511,                0.87065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032036,             0.00032036,             0.00032036
                     10,                0.98737,                 1.4262,                0.87453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030656,             0.00030656,             0.00030656
                     11,                0.97657,                 1.3245,                 0.8696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029275,             0.00029275,             0.00029275
                     12,                0.98032,                 1.2964,                0.86926,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027894,             0.00027894,             0.00027894
                     13,                0.97499,                 1.2252,                0.86337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026514,             0.00026514,             0.00026514
                     14,                0.94388,                 1.1441,                0.86186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025133,             0.00025133,             0.00025133
                     15,                0.92466,                 1.0888,                0.85886,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023753,             0.00023753,             0.00023753
                     16,                 0.9069,                 1.0342,                0.85869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022372,             0.00022372,             0.00022372
                     17,                0.88493,                0.99879,                0.85157,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020992,             0.00020992,             0.00020992
                     18,                  0.874,                0.94739,                0.85123,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019611,             0.00019611,             0.00019611
                     19,                0.88608,                0.93399,                 0.8512,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001823,              0.0001823,              0.0001823
                     20,                0.87646,                0.90739,                0.84958,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001685,              0.0001685,              0.0001685
                     21,                0.88097,                 0.9674,                0.84887,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015469,             0.00015469,             0.00015469
                     22,                0.88178,                0.93407,                0.84531,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014089,             0.00014089,             0.00014089
                     23,                 0.8616,                  0.882,                0.84545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012708,             0.00012708,             0.00012708
                     24,                0.85539,                0.86403,                0.84664,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011328,             0.00011328,             0.00011328
                     25,                0.84702,                 0.8547,                  0.846,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9471e-05,             9.9471e-05,             9.9471e-05
                     26,                0.84101,                0.81926,                0.84401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5665e-05,             8.5665e-05,             8.5665e-05
                     27,                0.81427,                0.79823,                0.83788,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.186e-05,              7.186e-05,              7.186e-05
                     28,                0.81655,                0.77056,                 0.8423,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8054e-05,             5.8054e-05,             5.8054e-05
                     29,                0.80554,                0.76315,                0.83076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4248e-05,             4.4248e-05,             4.4248e-05
                     30,                0.80355,                0.74965,                0.82951,                0.92885,                0.68717,                0.73915,                 0.5167,                0.80421,                0.51366,                0.80856,             3.0443e-05,             3.0443e-05,             3.0443e-05
