                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.198,                 3.9961,                 1.0305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001668,              0.0001668,              0.0001668
                      2,                 1.0842,                 2.6468,                0.98286,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032433,             0.00032433,             0.00032433
                      3,                 1.0246,                 2.0837,                0.98779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      4,                0.97758,                 1.8516,                0.97331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      5,                 0.9404,                 1.6104,                0.96639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037567,             0.00037567,             0.00037567
                      6,                0.95131,                  1.472,                0.95806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036189,             0.00036189,             0.00036189
                      7,                0.90077,                 1.3216,                0.96061,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034812,             0.00034812,             0.00034812
                      8,                0.90868,                 1.2388,                0.96018,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033434,             0.00033434,             0.00033434
                      9,                0.86009,                 1.1465,                0.94552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032056,             0.00032056,             0.00032056
                     10,                0.85049,                  1.063,                0.94532,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030678,             0.00030678,             0.00030678
                     11,                0.84623,                0.98569,                0.93666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029301,             0.00029301,             0.00029301
                     12,                0.84629,                0.97937,                0.95212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027923,             0.00027923,             0.00027923
                     13,                0.83743,                0.89488,                0.94221,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026545,             0.00026545,             0.00026545
                     14,                0.82311,                 0.8669,                0.94906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025168,             0.00025168,             0.00025168
                     15,                0.79884,                0.79479,                0.93953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002379,              0.0002379,              0.0002379
                     16,                0.81267,                0.78073,                0.93817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022412,             0.00022412,             0.00022412
                     17,                0.78971,                0.73063,                0.93599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021035,             0.00021035,             0.00021035
                     18,                 0.7972,                 0.7302,                0.92776,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019657,             0.00019657,             0.00019657
                     19,                0.79851,                0.71456,                0.93571,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018279,             0.00018279,             0.00018279
                     20,                0.78472,                0.68114,                0.92954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016901,             0.00016901,             0.00016901
                     21,                0.77478,                 0.7098,                 0.9332,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015524,             0.00015524,             0.00015524
                     22,                0.76424,                 0.6705,                0.92653,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014146,             0.00014146,             0.00014146
                     23,                0.74981,                0.64112,                0.92814,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012768,             0.00012768,             0.00012768
                     24,                 0.7495,                0.62801,                0.91787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011391,             0.00011391,             0.00011391
                     25,                0.74435,                0.62497,                0.92094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010013,             0.00010013,             0.00010013
                     26,                0.72794,                0.59466,                 0.9234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6352e-05,             8.6352e-05,             8.6352e-05
                     27,                 0.7108,                0.58784,                 0.9225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2575e-05,             7.2575e-05,             7.2575e-05
                     28,                0.70913,                0.56168,                 0.9118,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8798e-05,             5.8798e-05,             5.8798e-05
                     29,                0.70787,                0.55688,                0.91492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5021e-05,             4.5021e-05,             4.5021e-05
                     30,                0.70542,                0.54806,                0.91481,                0.83474,                0.67022,                0.74651,                0.51289,                0.71704,                  0.374,                 0.8907,             3.1244e-05,             3.1244e-05,             3.1244e-05
