                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2998,                 3.0048,                0.66548,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00024128,             0.00024128,             0.00024128
                      2,                 1.2083,                 2.0111,                0.64199,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040323,             0.00040323,             0.00040323
                      3,                 1.1166,                 1.5855,                0.65172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00040323,             0.00040323,             0.00040323
                      4,                 1.0949,                 1.3725,                 0.6434,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038947,             0.00038947,             0.00038947
                      5,                 1.0404,                 1.2179,                0.63569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003757,              0.0003757,              0.0003757
                      6,                 1.0132,                 1.0734,                0.63166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036193,             0.00036193,             0.00036193
                      7,                0.99725,                 1.0214,                0.63152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034817,             0.00034817,             0.00034817
                      8,                0.97749,                0.91958,                0.62781,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003344,              0.0003344,              0.0003344
                      9,                0.95618,                0.86178,                0.62818,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032064,             0.00032064,             0.00032064
                     10,                0.92422,                0.77592,                0.61747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030687,             0.00030687,             0.00030687
                     11,                0.92419,                0.73189,                0.62271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002931,              0.0002931,              0.0002931
                     12,                0.91295,                0.70876,                0.62409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027934,             0.00027934,             0.00027934
                     13,                0.91585,                0.70281,                0.61578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026557,             0.00026557,             0.00026557
                     14,                0.87304,                0.64344,                0.61847,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002518,              0.0002518,              0.0002518
                     15,                0.89028,                0.62556,                0.61727,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023804,             0.00023804,             0.00023804
                     16,                0.87617,                0.59354,                0.61599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022427,             0.00022427,             0.00022427
                     17,                0.88431,                0.57997,                0.61942,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002105,              0.0002105,              0.0002105
                     18,                0.85441,                0.55192,                0.61385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019674,             0.00019674,             0.00019674
                     19,                 0.8344,                0.52935,                0.61374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018297,             0.00018297,             0.00018297
                     20,                0.82615,                0.52041,                0.61473,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001692,              0.0001692,              0.0001692
                     21,                0.82899,                0.53486,                0.60693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015544,             0.00015544,             0.00015544
                     22,                0.81724,                0.50922,                0.60546,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014167,             0.00014167,             0.00014167
                     23,                0.80512,                0.48709,                 0.6056,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012791,             0.00012791,             0.00012791
                     24,                0.79873,                0.48303,                0.60731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011414,             0.00011414,             0.00011414
                     25,                0.79353,                0.47156,                0.59895,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010037,             0.00010037,             0.00010037
                     26,                0.77907,                0.45844,                0.60351,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6606e-05,             8.6606e-05,             8.6606e-05
                     27,                0.76382,                 0.4446,                0.60067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2839e-05,             7.2839e-05,             7.2839e-05
                     28,                0.75281,                  0.433,                0.59545,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.9073e-05,             5.9073e-05,             5.9073e-05
                     29,                0.75146,                0.43013,                0.59858,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5307e-05,             4.5307e-05,             4.5307e-05
                     30,                0.73809,                0.41856,                0.59557,                0.80415,                0.65813,                0.72762,                0.51176,                0.77716,                0.29398,                 0.5843,              3.154e-05,              3.154e-05,              3.154e-05
