                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5403,                  5.626,                 1.0225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00017679,             0.00017679,             0.00017679
                      2,                 1.4419,                 3.8063,                0.98955,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034375,             0.00034375,             0.00034375
                      3,                 1.3363,                 2.9616,                0.98068,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038943,             0.00038943,             0.00038943
                      4,                 1.2905,                 2.6323,                0.97592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038943,             0.00038943,             0.00038943
                      5,                 1.2794,                 2.3746,                0.98073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037564,             0.00037564,             0.00037564
                      6,                 1.2265,                   2.19,                0.96812,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036185,             0.00036185,             0.00036185
                      7,                 1.1773,                 1.9241,                0.95617,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034806,             0.00034806,             0.00034806
                      8,                  1.174,                 1.7582,                0.95639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033428,             0.00033428,             0.00033428
                      9,                 1.1329,                 1.6478,                0.95308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032049,             0.00032049,             0.00032049
                     10,                 1.1473,                  1.541,                0.95592,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003067,              0.0003067,              0.0003067
                     11,                 1.1304,                 1.4656,                0.95097,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029292,             0.00029292,             0.00029292
                     12,                 1.1457,                 1.4004,                0.95625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027913,             0.00027913,             0.00027913
                     13,                 1.1286,                  1.346,                0.94669,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026534,             0.00026534,             0.00026534
                     14,                 1.0888,                 1.2318,                0.94652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025155,             0.00025155,             0.00025155
                     15,                 1.0771,                 1.1668,                0.94297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023777,             0.00023777,             0.00023777
                     16,                 1.0686,                 1.1443,                0.94138,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022398,             0.00022398,             0.00022398
                     17,                  1.052,                 1.0982,                 0.9378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021019,             0.00021019,             0.00021019
                     18,                 1.0305,                 1.0396,                0.93686,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019641,             0.00019641,             0.00019641
                     19,                 1.0347,                 1.0281,                0.93275,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018262,             0.00018262,             0.00018262
                     20,                 1.0269,                0.98717,                0.92594,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016883,             0.00016883,             0.00016883
                     21,                 1.0363,                  1.052,                 0.9346,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015504,             0.00015504,             0.00015504
                     22,                 1.0434,                 1.0067,                0.94154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014126,             0.00014126,             0.00014126
                     23,                 1.0063,                0.94716,                0.92632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012747,             0.00012747,             0.00012747
                     24,                0.99899,                0.92446,                0.92975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011368,             0.00011368,             0.00011368
                     25,                0.99499,                0.93143,                0.92892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9896e-05,             9.9896e-05,             9.9896e-05
                     26,                  0.977,                0.88336,                0.92384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6109e-05,             8.6109e-05,             8.6109e-05
                     27,                 0.9678,                0.87945,                0.92113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2322e-05,             7.2322e-05,             7.2322e-05
                     28,                0.95892,                0.84486,                0.92062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8535e-05,             5.8535e-05,             5.8535e-05
                     29,                0.95069,                0.82697,                 0.9169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4747e-05,             4.4747e-05,             4.4747e-05
                     30,                0.94273,                 0.8066,                0.92272,                0.91803,                0.66222,                0.77662,                0.50092,                0.96625,                0.57444,                0.89213,              3.096e-05,              3.096e-05,              3.096e-05
