                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.527,                 5.6314,                0.94039,                0.06835,                 0.3768,                0.13046,                0.08449,                 1.5649,                 4.3806,                  0.861,             0.00013751,             0.00013751,             0.00013751
                      2,                 1.4287,                 3.9327,                0.89912,                0.28524,                0.21317,                0.23522,                0.14633,                 1.4945,                 2.8147,                 0.8638,             0.00018526,             0.00018526,             0.00018526
                      3,                 1.3001,                 3.1664,                0.88993,                0.32723,                0.38265,                0.30391,                0.18322,                 1.3985,                 2.1874,                0.85324,             0.00014127,             0.00014127,             0.00014127
