                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5885,                 3.2883,                 1.1089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0001668,              0.0001668,              0.0001668
                      2,                 1.4609,                  2.225,                 1.0565,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032435,             0.00032435,             0.00032435
                      3,                 1.3609,                 1.7949,                 1.0572,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038949,             0.00038949,             0.00038949
                      4,                 1.3269,                 1.6015,                 1.0589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038949,             0.00038949,             0.00038949
                      5,                 1.2592,                 1.3747,                 1.0458,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037574,             0.00037574,             0.00037574
                      6,                 1.2768,                 1.2806,                 1.0329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036198,             0.00036198,             0.00036198
                      7,                 1.2155,                 1.1377,                 1.0414,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034823,             0.00034823,             0.00034823
                      8,                 1.2101,                 1.0894,                 1.0315,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033448,             0.00033448,             0.00033448
                      9,                 1.1512,                 1.0052,                 1.0238,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032072,             0.00032072,             0.00032072
                     10,                 1.1547,                0.94086,                 1.0294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030697,             0.00030697,             0.00030697
                     11,                 1.1402,                0.87793,                 1.0194,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029321,             0.00029321,             0.00029321
                     12,                 1.1393,                0.86035,                 1.0318,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027946,             0.00027946,             0.00027946
                     13,                 1.1285,                0.80422,                 1.0174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026571,             0.00026571,             0.00026571
                     14,                 1.1057,                0.77381,                 1.0222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025195,             0.00025195,             0.00025195
                     15,                 1.0651,                0.71951,                  1.015,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002382,              0.0002382,              0.0002382
                     16,                 1.0812,                0.70393,                 1.0195,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022444,             0.00022444,             0.00022444
                     17,                 1.0665,                0.65764,                 1.0167,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021069,             0.00021069,             0.00021069
                     18,                  1.063,                  0.658,                 1.0102,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019694,             0.00019694,             0.00019694
                     19,                 1.0629,                 0.6292,                 1.0121,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018318,             0.00018318,             0.00018318
                     20,                 1.0408,                0.61317,                 1.0101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016943,             0.00016943,             0.00016943
                     21,                 1.0281,                0.63176,                 1.0081,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015567,             0.00015567,             0.00015567
                     22,                 1.0342,                 0.6041,                 1.0083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014192,             0.00014192,             0.00014192
                     23,                0.99844,                0.56362,                 1.0031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012816,             0.00012816,             0.00012816
                     24,                0.99375,                0.56267,                0.99953,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011441,             0.00011441,             0.00011441
                     25,                0.99411,                0.55753,                 1.0023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010066,             0.00010066,             0.00010066
                     26,                0.96595,                0.52553,                0.99652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6903e-05,             8.6903e-05,             8.6903e-05
                     27,                0.95075,                0.51654,                0.99655,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.3149e-05,             7.3149e-05,             7.3149e-05
                     28,                0.94406,                0.50765,                0.98921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.9395e-05,             5.9395e-05,             5.9395e-05
                     29,                 0.9447,                0.50066,                0.98466,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5641e-05,             4.5641e-05,             4.5641e-05
                     30,                0.92315,                0.48326,                0.98698,                0.74554,                 0.6411,                0.69329,                0.48414,                0.94198,                0.33871,                0.95905,             3.1887e-05,             3.1887e-05,             3.1887e-05
