                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.248,                 3.1734,                0.70914,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019674,             0.00019674,             0.00019674
                      2,                 1.1339,                 2.1167,                 0.6722,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038254,             0.00038254,             0.00038254
                      3,                 1.0637,                 1.6954,                0.67134,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      4,                  1.029,                 1.4763,                0.66237,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038945,             0.00038945,             0.00038945
                      5,                0.98957,                 1.2879,                0.66718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037567,             0.00037567,             0.00037567
                      6,                 0.9887,                 1.1856,                 0.6644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036189,             0.00036189,             0.00036189
                      7,                 0.9504,                 1.0921,                0.66611,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034812,             0.00034812,             0.00034812
                      8,                0.94444,                 1.0222,                0.65779,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033434,             0.00033434,             0.00033434
                      9,                0.92532,                0.93047,                0.65171,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032056,             0.00032056,             0.00032056
                     10,                0.89311,                 0.8612,                0.64901,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030678,             0.00030678,             0.00030678
                     11,                0.89953,                0.80674,                0.65486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029301,             0.00029301,             0.00029301
                     12,                0.87095,                0.76564,                0.64966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027923,             0.00027923,             0.00027923
                     13,                0.85099,                0.71943,                0.64638,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026545,             0.00026545,             0.00026545
                     14,                0.86485,                 0.6759,                0.65254,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025168,             0.00025168,             0.00025168
                     15,                0.85872,                0.66646,                0.64705,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002379,              0.0002379,              0.0002379
                     16,                0.84103,                0.62917,                0.64426,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022412,             0.00022412,             0.00022412
                     17,                0.82836,                0.61199,                0.64659,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00021035,             0.00021035,             0.00021035
                     18,                0.82141,                0.57758,                0.64444,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019657,             0.00019657,             0.00019657
                     19,                 0.8031,                0.55583,                0.64161,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018279,             0.00018279,             0.00018279
                     20,                0.79714,                 0.5584,                0.63641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016901,             0.00016901,             0.00016901
                     21,                0.79033,                0.55104,                0.63401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015524,             0.00015524,             0.00015524
                     22,                 0.7755,                0.51867,                0.63308,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014146,             0.00014146,             0.00014146
                     23,                0.75932,                0.50429,                0.63033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012768,             0.00012768,             0.00012768
                     24,                0.76369,                0.49855,                0.63522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011391,             0.00011391,             0.00011391
                     25,                0.76336,                0.48702,                0.62853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00010013,             0.00010013,             0.00010013
                     26,                0.75281,                0.47569,                0.62996,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.6352e-05,             8.6352e-05,             8.6352e-05
                     27,                0.72803,                0.45798,                0.62823,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2575e-05,             7.2575e-05,             7.2575e-05
                     28,                  0.725,                0.44704,                0.62421,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8798e-05,             5.8798e-05,             5.8798e-05
                     29,                0.71416,                0.44565,                0.62635,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.5021e-05,             4.5021e-05,             4.5021e-05
                     30,                0.70914,                0.43185,                0.62366,                0.82468,                0.65758,                0.73772,                0.52276,                0.73754,                0.30437,                0.60921,             3.1244e-05,             3.1244e-05,             3.1244e-05
