                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2457,                 5.1806,                0.86968,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018714,             0.00018714,             0.00018714
                      2,                 1.1723,                 3.4957,                 0.8287,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036386,             0.00036386,             0.00036386
                      3,                 1.0733,                   2.71,                0.82413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038939,             0.00038939,             0.00038939
                      4,                  1.009,                 2.3246,                0.81645,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00038939,             0.00038939,             0.00038939
                      5,                 1.0223,                 2.0746,                0.82204,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00037559,             0.00037559,             0.00037559
                      6,                0.99013,                 1.8733,                0.82207,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00036179,             0.00036179,             0.00036179
                      7,                0.95389,                 1.7725,                 0.8073,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00034798,             0.00034798,             0.00034798
                      8,                0.96949,                 1.6194,                0.81084,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00033418,             0.00033418,             0.00033418
                      9,                0.92545,                 1.4718,                0.80237,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00032038,             0.00032038,             0.00032038
                     10,                0.93323,                 1.4276,                0.80513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00030658,             0.00030658,             0.00030658
                     11,                0.90663,                 1.2992,                0.79831,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00029277,             0.00029277,             0.00029277
                     12,                0.89267,                 1.2269,                0.79844,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00027897,             0.00027897,             0.00027897
                     13,                0.89869,                 1.1685,                0.80071,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00026517,             0.00026517,             0.00026517
                     14,                0.87955,                 1.1103,                0.79661,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00025136,             0.00025136,             0.00025136
                     15,                 0.8937,                 1.0909,                0.79366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00023756,             0.00023756,             0.00023756
                     16,                 0.8625,                 1.0211,                0.79641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00022376,             0.00022376,             0.00022376
                     17,                0.85267,                0.97769,                0.79169,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00020995,             0.00020995,             0.00020995
                     18,                0.83324,                0.92941,                0.78528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019615,             0.00019615,             0.00019615
                     19,                0.85917,                  0.925,                0.79065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00018235,             0.00018235,             0.00018235
                     20,                 0.8417,                0.89699,                0.79229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00016854,             0.00016854,             0.00016854
                     21,                0.84996,                0.95153,                0.78859,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00015474,             0.00015474,             0.00015474
                     22,                0.83204,                0.91128,                0.78566,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00014094,             0.00014094,             0.00014094
                     23,                0.82192,                 0.8674,                0.77695,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00012713,             0.00012713,             0.00012713
                     24,                0.81249,                0.84929,                0.78514,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00011333,             0.00011333,             0.00011333
                     25,                0.80216,                0.83417,                0.77929,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.9528e-05,             9.9528e-05,             9.9528e-05
                     26,                0.78842,                 0.7935,                0.77697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             8.5725e-05,             8.5725e-05,             8.5725e-05
                     27,                0.77638,                0.78704,                0.78077,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.1922e-05,             7.1922e-05,             7.1922e-05
                     28,                0.78396,                0.76833,                0.77382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8119e-05,             5.8119e-05,             5.8119e-05
                     29,                0.75781,                0.74908,                0.77388,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4316e-05,             4.4316e-05,             4.4316e-05
                     30,                0.75126,                0.73393,                0.77357,                0.82156,                0.68307,                0.74189,                0.49584,                0.79276,                 0.5248,                0.75489,             3.0513e-05,             3.0513e-05,             3.0513e-05
